84;1;ﬂ»∆Ã.00161-01;
85;2;ﬂ»∆Ã.00161-01-À”;
86;3;ﬂ»∆Ã.00161-01 12;
87;4;ﬂ»∆Ã.00161-01 12-À”;
88;5;ﬂ»∆Ã.00161-01 31;
89;6;ﬂ»∆Ã.00161-01 31-À”;
90;7;ﬂ»∆Ã.00161-01 34;
91;8;ﬂ»∆Ã.00161-01 34-À”;
92;9;ﬂ»∆Ã.00161-01 Ã;
182;10;ﬂ»∆Ã.00135-01 12 01;
183;11;ﬂ»∆Ã.00135-01 12 02;
184;12;ﬂ»∆Ã.00135-01 12 03;
185;13;ﬂ»∆Ã.00135-01 Ã;
186;14;—»ﬂÃ.467414.020 D1 M;
187;15;ﬂ»∆Ã.00164-01 12;
188;16;ﬂ»∆Ã.00164-01 Ã;
189;17;ﬂ»∆Ã.00175-01 Ã;
190;18;ﬂ»∆Ã.00147-01 Ã;
191;19;ﬂ»∆Ã.00147-01 12 ;
192;20;ﬂ»∆Ã.00140-01 Ã;
193;21;ﬂ»∆Ã.00140-01 12 ;
194;22;—»ﬂÃ.00333-01 Ã 1;
195;23;—»ﬂÃ.00148-03 Ã;
196;24;—»ﬂÃ.00148-03 12;
197;25;ﬂ»∆Ã.00174-01 Ã;
198;26;ﬂ»∆Ã.00171-01 Ã;
199;27;ﬂ»∆Ã.00171-01 12;
200;28;—»ﬂÃ.00153-03 Ã;
201;29;ﬂ»∆Ã.00132-01 Ã;
202;30;ﬂ»∆Ã.00165-01 Ã;
203;31;ﬂ»∆Ã.00165-01 12 ;
204;32;ﬂ»∆Ã.00063-01 Ã;
205;33;ﬂ»∆Ã.00063-01 12;
206;34;ﬂ»∆Ã.00151-01 Ã;
207;35;ﬂ»∆Ã.00151-01 12 ;
211;36;—»ﬂÃ.00364-01 Ã;
212;37;—»ﬂÃ.00364-01 12;
213;38;—»ﬂÃ.00365-01 Ã;
214;39;—»ﬂÃ.00365-01 12;
215;40;ﬂ»∆Ã.00165-01 Ã;1
216;41;ﬂ»∆Ã.00165-01 12 ;1
217;42;ﬂ»∆Ã.00163-01 Ã;
218;43;ﬂ»∆Ã.00163-01 12 ;
219;44;ﬂ»∆Ã.00173-01 Ã;
220;45;ﬂ»∆Ã.00173-01 12;
223;48;ﬂ»∆Ã.00149-01 Ã;
